round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.7089372873306274,0.340625,0.058355854638309244,0.36328515792795046,0.685617017333071,2.6348425797850448,3.972375686637066,105767.99999999999,105767.99999999999,1.0,2.12,10.0,892.7419177305121,0.01
2,1.4830989837646484,0.664140625,0.23384668372589307,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.6282600956399365,105768.0,105768.0,1.0,2.12,10.0,1481.802909016851,0.01
3,1.8555208444595337,0.435390625,0.12288848799321392,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6324318289719586,105768.0,105768.0,1.0,2.12,10.0,1482.6521366626941,0.01
4,2.1615219116210938,0.5978125,0.2186895925495987,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6692032524323692,105768.0,105768.0,1.0,2.12,10.0,1485.9268793687122,0.01
5,1.8708511590957642,0.581875,0.2288425143841768,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6625479782981336,105768.0,105768.0,1.0,2.12,10.0,1486.1231576160603,0.01
6,1.8044445514678955,0.69125,0.26851875317483953,0.36328515792795035,0.685617017333071,2.6348425797850448,2.622224823270307,105767.99999999999,105767.99999999999,1.0,2.12,10.0,1486.3176749739218,0.01
7,1.5972980260849,0.7046875,0.3425954543684186,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6531454069326945,105768.0,105768.0,1.0,2.12,10.0,1486.3862826404325,0.01
8,2.035269260406494,0.6953125,0.3441575738249122,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.6814453313018207,105767.99999999999,105767.99999999999,1.0,2.12,10.0,1486.473486274811,0.01
9,1.6834355592727661,0.65953125,0.30129795180590635,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6528048540933735,105768.0,105768.0,1.0,2.12,10.0,1486.652024626862,0.01
10,1.672597885131836,0.5959375,0.254224786432444,0.36328515792795046,0.6856170173330711,2.6348425797850448,2.6519363616617735,105768.0,105768.0,1.0,2.12,10.0,1486.7126016624256,0.01
11,1.5182700157165527,0.730546875,0.310620249852172,0.36328515792795035,0.6856170173330709,2.6348425797850448,2.7097542443832916,105768.0,105768.0,1.0,2.12,10.0,1486.7328244728299,0.01
12,2.1206045150756836,0.6591406249999999,0.2949590808876447,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.9249604357663044,105768.0,105768.0,1.0,2.12,10.0,1486.8074672986372,0.01
13,2.1411654949188232,0.58609375,0.2636191077967653,0.36328515792795046,0.685617017333071,2.6348425797850448,3.3898127617971365,105768.0,105768.0,1.0,2.12,10.0,1486.8268949669025,0.01
14,2.225679397583008,0.673125,0.32158452393375814,0.36328515792795046,0.6856170173330711,2.6348425797850448,3.4571929237080563,105768.0,105768.0,1.0,2.12,10.0,1486.884321899128,0.01
15,1.631665825843811,0.7346093749999999,0.35789714590961125,0.3632851579279504,0.6856170173330711,2.6348425797850448,3.0421753979439554,105768.0,105768.0,1.0,2.12,10.0,1486.9117345005166,0.01
16,1.2532025575637817,0.7414062500000002,0.40941931843207924,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.689114240890843,105768.0,105768.0,1.0,2.12,10.0,1487.0097380539794,0.01
17,1.397648811340332,0.7255468749999999,0.36587938539773623,0.3632851579279504,0.685617017333071,2.6348425797850448,2.7020421252898137,105768.0,105768.0,1.0,2.12,10.0,1487.1913929976308,0.01
18,1.6732579469680786,0.734453125,0.3412500818745584,0.36328515792795046,0.6856170173330711,2.6348425797850448,2.678534575839847,105768.00000000001,105768.00000000001,1.0,2.12,10.0,1487.2497064676436,0.01
19,2.872657299041748,0.636640625,0.31454550243810003,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.7126129888750024,105768.0,105768.0,1.0,2.12,10.0,1487.2735546387555,0.01
20,2.1560306549072266,0.735625,0.356064995028287,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6445297669776795,105767.99999999999,105767.99999999999,1.0,2.12,10.0,1489.2369360583857,0.01
21,2.059436082839966,0.6941406249999998,0.3389639621521278,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6866651320026063,105768.0,105768.0,1.0,2.12,10.0,1489.242483774226,0.01
22,2.4131197929382324,0.683671875,0.28693384569134667,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6743093020940907,105768.0,105768.0,1.0,2.12,10.0,1489.2908533977245,0.01
23,2.387637138366699,0.7060156249999999,0.3743521640137717,0.36328515792795035,0.685617017333071,2.6348425797850448,2.680352279784211,105768.0,105768.0,1.0,2.12,10.0,1489.3062718435601,0.01
24,2.7414205074310303,0.6890625,0.3375962983766333,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6897720178405313,105768.0,105768.0,1.0,2.12,10.0,1489.3137967519206,0.01
25,2.4089181423187256,0.745390625,0.4093357572503172,0.3632851579279505,0.685617017333071,2.6348425797850448,2.681550333376627,105768.0,105768.0,1.0,2.12,10.0,1489.3152834544633,0.01
26,1.8414117097854614,0.726171875,0.37189596781351747,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6313091713921772,105768.0,105768.0,1.0,2.12,10.0,1489.315283454463,0.01
27,2.5998857021331787,0.7427343749999998,0.4155575039261373,0.3632851579279504,0.685617017333071,2.6348425797850448,2.657475230818772,105768.0,105768.0,1.0,2.12,10.0,1489.3351711474907,0.01
28,2.8341708183288574,0.657734375,0.3420516723953912,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.6750242912142683,105768.0,105768.0,1.0,2.12,10.0,1489.3351711474904,0.01
29,1.6232374906539917,0.7798437499999998,0.45586211391250353,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6561210412695373,105768.0,105768.0,1.0,2.12,10.0,1489.3351711474907,0.01
30,2.3680503368377686,0.681015625,0.379129858579376,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6905384075481718,105768.0,105768.0,1.0,2.12,10.0,1489.8409523030487,0.01
31,2.607419967651367,0.707890625,0.3837239106777209,0.36328515792795035,0.685617017333071,2.6348425797850448,2.633974097561044,105768.0,105768.0,1.0,2.12,10.0,1489.8658941754163,0.01
