round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.734390139579773,0.425546875,0.10705176480530101,0.3632851579279504,0.6856170173330711,2.6348425797850448,3.8609162964550876,105768.00000000001,105768.00000000001,1.0,8.6,10.0,891.3602681639711,0.01
2,1.6986979246139526,0.4746875,0.15679826153020446,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6885300797775376,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1481.0287917617181,0.01
3,1.7603511810302734,0.607421875,0.2120210880317211,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.620953611828499,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1481.8761908852948,0.01
4,1.982481837272644,0.65515625,0.23204221269751202,0.3632851579279504,0.6856170173330711,2.6348425797850448,2.6523358451559584,105768.0,105768.0,1.0,8.6,10.0,1482.1836410472479,0.01
5,1.7038482427597046,0.58265625,0.2331096575922229,0.36328515792795035,0.6856170173330709,2.6348425797850448,2.6413506049203197,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1482.2797344316652,0.01
6,2.845111846923828,0.36546875,0.09730362796684465,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6732414780262204,105768.0,105768.0,1.0,8.6,10.0,1482.7231255666532,0.01
7,2.483919143676758,0.570703125,0.20130238600354983,0.3632851579279504,0.685617017333071,2.6348425797850448,2.6794630619920263,105768.0,105768.0,1.0,8.6,10.0,1482.9378901070913,0.01
8,1.8079664707183838,0.701640625,0.33348606332994396,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.66841238157423,105768.0,105768.0,1.0,8.6,10.0,1483.0132762841697,0.01
9,1.8851698637008667,0.7097656249999998,0.2921588892778257,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.645383630987449,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.1578581064284,0.01
10,1.4184601306915283,0.7189843749999999,0.34809351212521095,0.36328515792795046,0.6856170173330711,2.6348425797850448,2.657938187007245,105768.0,105768.0,1.0,8.6,10.0,1483.3005084339904,0.01
11,1.726668119430542,0.6200781249999999,0.2711849955448317,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.645387893756193,105768.0,105768.0,1.0,8.6,10.0,1483.3488780574892,0.01
12,1.8599916696548462,0.6318750000000001,0.2785174384300401,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6486595990997714,105768.0,105768.0,1.0,8.6,10.0,1483.392827178141,0.01
13,2.137765884399414,0.6630468749999999,0.3198550370381262,0.3632851579279504,0.685617017333071,2.6348425797850448,2.652947172933948,105768.0,105768.0,1.0,8.6,10.0,1483.4570874583237,0.01
14,1.8384226560592651,0.72,0.3463918555177869,0.36328515792795035,0.6856170173330711,2.6348425797850448,2.6506555669580303,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1483.5484952925146,0.01
15,2.558701753616333,0.6165625,0.22648681948781044,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6615736415077165,105768.0,105768.0,1.0,8.6,10.0,1483.5568092499707,0.01
16,1.9635111093521118,0.640234375,0.2901231336490755,0.36328515792795035,0.685617017333071,2.6348425797850448,2.6558223520746247,105768.0,105768.0,1.0,8.6,10.0,1483.607418066848,0.01
17,2.3597970008850098,0.6746093749999998,0.30840563115962905,0.36328515792795046,0.685617017333071,2.6348425797850448,2.6475298336312365,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.607418066848,0.01
18,1.5786080360412598,0.720234375,0.35618505116942867,0.3632851579279504,0.685617017333071,2.6348425797850448,2.618101874587503,105768.0,105768.0,1.0,8.6,10.0,1483.6303553280004,0.01
