round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.8446825742721558,0.339921875,0.059019056680202006,0.21309551329397958,0.38696253510517675,1.4517195424761136,3.848464554166147,105768.0,105768.0,1.0,8.6,10.0,891.9086800579571,0.01
2,1.5588310956954956,0.43601562499999996,0.11225779406945062,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.653269865512476,105768.0,105768.0,1.0,8.6,10.0,1479.0193441935735,0.01
3,3.023772716522217,0.396640625,0.09153004994220537,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.650215704859261,105768.0,105768.0,1.0,8.6,10.0,1480.1876058666257,0.01
4,2.5361742973327637,0.417421875,0.10248603383504432,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.664987794305322,105768.0,105768.0,1.0,8.6,10.0,1480.715151372519,0.01
5,1.8824955224990845,0.61515625,0.24468029767316316,0.21309551329397955,0.3869625351051767,1.4517195424761136,2.6441488101058064,105768.0,105768.0,1.0,8.6,10.0,1481.0521210340382,0.01
6,1.9300490617752075,0.6337499999999999,0.3038142483040801,0.21309551329397963,0.3869625351051767,1.4517195424761136,2.6467603666652963,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1481.122221496135,0.01
7,2.2123639583587646,0.67953125,0.3223914234637957,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.6439577823467326,105768.0,105768.0,1.0,8.6,10.0,1481.1869692197733,0.01
8,1.7865570783615112,0.66453125,0.25201534286560945,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6668202800202936,105768.0,105768.0,1.0,8.6,10.0,1481.2847168654214,0.01
9,2.247851610183716,0.556953125,0.24323139707068717,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.648242904083384,105768.0,105768.0,1.0,8.6,10.0,1481.4403484215363,0.01
10,2.2734692096710205,0.5571874999999998,0.20637422227231378,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.6770568598713194,105768.0,105768.0,1.0,8.6,10.0,1481.4753377221525,0.01
11,1.8570783138275146,0.605,0.2652402135570912,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.658887029642472,105768.0,105768.0,1.0,8.6,10.0,1481.5235519730493,0.01
12,2.7364816665649414,0.53984375,0.19646605335901568,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.677182350868443,105768.0,105768.0,1.0,8.6,10.0,1481.6008665983031,0.01
13,2.270548105239868,0.7267968749999999,0.3382451760569217,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.651208936256991,105768.0,105768.0,1.0,8.6,10.0,1481.7137981076226,0.01
14,2.3565218448638916,0.636015625,0.29638495451971353,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.647807574345604,105768.0,105768.0,1.0,8.6,10.0,1481.7186024721912,0.01
15,2.7005670070648193,0.7040624999999999,0.28141905653887983,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6434327185135365,105768.0,105768.0,1.0,8.6,10.0,1481.726870731823,0.01
16,2.5105490684509277,0.625625,0.27645305108658136,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.657062481786063,105768.0,105768.0,1.0,8.6,10.0,1482.9399895412912,0.01
17,3.318460702896118,0.647578125,0.29746591584933235,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.630375211644407,105768.0,105768.0,1.0,8.6,10.0,1482.9399895412914,0.01
18,1.9979389905929565,0.6953125,0.32400652582643524,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.636051333893333,105768.0,105768.0,1.0,8.6,10.0,1482.9473011931398,0.01
19,3.136805534362793,0.48742187499999995,0.163906214254295,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6416021600665474,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1482.94730119314,0.01
