round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb
1,0.4076289236545563,0.8590353260869565,0.8574957722413838,2.218409771725973,109080.0,109080.0,863.4209696341131
2,0.32332664728164673,0.8899456521739131,0.8901924449128793,0.3872916594034179,109080.0,109080.0,1250.6626842610854
3,0.29389938712120056,0.8970788043478262,0.8973092291378725,0.38429128377818955,109080.0,109080.0,1250.8548407321136
4,0.2592445909976959,0.9093070652173914,0.9092471753946583,0.3874110042140844,109080.0,109080.0,1251.2478316912063
5,0.2603437304496765,0.9096467391304349,0.9096098412145982,0.3754857215904697,109080.00000000001,109080.00000000001,1251.3583697463278
6,0.26929381489753723,0.9140625,0.9141873560284238,0.3755892300826292,109080.0,109080.0,1251.4052319946952
7,0.25981736183166504,0.912024456521739,0.912569103703468,0.3904833375629326,109080.0,109080.0,1251.498977744151
8,0.2657918930053711,0.9144021739130435,0.914685222533621,0.39039422148459624,109080.0,109080.0,1251.514598493607
9,0.259760320186615,0.9157608695652174,0.9161547709190192,0.39034363059924915,109080.00000000001,109080.00000000001,1251.6083442430631
10,0.2719528377056122,0.9184782608695651,0.9185431940469929,0.38955226848641733,109080.0,109080.0,1251.6708697463273
11,0.2772481441497803,0.916100543478261,0.9166887645510898,0.38450133612417947,109080.0,109080.0,1251.6864904957833
12,0.2828137278556824,0.9225543478260869,0.922938850768753,0.3750637310503357,109080.0,109080.0,1251.7021112452394
13,0.28718385100364685,0.9235733695652174,0.9239986052642881,0.38741482653218334,109080.0,109080.0,1251.7490159990477
14,0.30401480197906494,0.9242527173913043,0.924828699465346,0.3900661519743802,109080.0,109080.0,1251.7646367485038
15,0.3026156723499298,0.9215353260869565,0.9219066923967503,0.393204731216109,109080.00000000001,109080.00000000001,1251.7646367485038
16,0.305862158536911,0.9245923913043478,0.9247671857251968,0.39325160482113974,109080.0,109080.0,1251.7802574979596
17,0.30905577540397644,0.9262907608695651,0.9266545918672255,0.37957983541021667,109080.0,109080.0,1251.7802574979596
18,0.3102225363254547,0.9286684782608695,0.9292579304789716,0.3882127325734583,109080.0,109080.0,1251.8114989968715
19,0.3392067849636078,0.9269701086956522,0.9275886724845598,0.3802713981390778,109080.0,109080.0,1251.8583824979598
20,0.34446850419044495,0.9283288043478262,0.9287073818537275,0.3862748766101094,109080.0,109080.0,1251.8583824979594
21,0.3633923828601837,0.9300271739130435,0.9303296011089395,0.39659203386280817,109080.00000000001,109080.00000000001,1251.8583824979596
22,0.3718458414077759,0.9252717391304349,0.92554062215018,0.3916201413131772,109080.0,109080.0,1251.8583824979598
23,0.3898337781429291,0.9293478260869565,0.9295592024090231,0.38604643081555035,109080.0,109080.0,1251.8583824979596
24,0.3928721249103546,0.927649456521739,0.928455371977114,0.3791687904296684,109080.0,109080.0,1251.8583824979596
25,0.40307852625846863,0.9303668478260869,0.9310507343722478,0.37794474367218517,109080.0,109080.0,1251.8583824979598
26,0.3980947434902191,0.9313858695652174,0.9318507268732165,0.3852702005968,109080.0,109080.0,1251.8583824979596
27,0.4107608497142792,0.9320652173913043,0.93273183720583,0.3921266871710207,109080.00000000001,109080.00000000001,1251.8583824979598
28,0.4347456395626068,0.9235733695652174,0.9241572125722749,0.38527269637104733,109080.0,109080.0,1251.8583824979596
29,0.4291510283946991,0.9307065217391305,0.9310314762368558,0.3858356139540542,109080.0,109080.0,1251.8583824979596
30,0.4277893602848053,0.9296875,0.9302261598314239,0.3938448214751462,109080.0,109080.0,1251.8740032474154
31,0.4371134340763092,0.923913043478261,0.9245527776295761,0.3965535110047125,109080.0,109080.0,1251.8740032474154
32,0.46474385261535645,0.927649456521739,0.9285203270458293,0.39717925065100773,109080.00000000001,109080.00000000001,1251.8740032474154
33,0.494174063205719,0.927649456521739,0.928192412925512,0.3989282448870313,109080.0,109080.0,1251.889645249592
34,0.4795355796813965,0.9300271739130435,0.930862375628571,0.3976649024216732,109080.0,109080.0,1251.9052872517682
35,0.47693321108818054,0.9300271739130435,0.93098935278911,0.4058553947133779,109080.0,109080.0,1251.9052872517682
36,0.493825227022171,0.9252717391304349,0.9260690621796664,0.40386543861540664,109080.0,109080.0,1251.9052872517682
37,0.47947368025779724,0.9245923913043478,0.9255314083760457,0.4067680113852608,109080.0,109080.0,1251.9052872517682
38,0.4799049198627472,0.9296875,0.930346405695592,0.41548958109434336,109080.0,109080.0,1251.905287251768
39,0.47551003098487854,0.9296875,0.9303887570978071,0.41198759132811763,109080.0,109080.0,1251.9052872517682
40,0.49876636266708374,0.9269701086956522,0.9278544551407153,0.42263163669973247,109080.0,109080.0,1251.9052872517682
41,0.49388542771339417,0.9256114130434783,0.9262882389168963,0.43047586809823507,109080.00000000001,109080.00000000001,1251.9052872517682
42,0.5073859691619873,0.9293478260869565,0.9298250426771475,0.44543541080933524,109080.0,109080.0,1251.9052872517682
43,0.5013708472251892,0.9252717391304349,0.9257960586464495,0.45662745515591946,109080.0,109080.0,1251.9052872517682
44,0.5028090476989746,0.9228940217391305,0.9236562415794397,0.47711133833678687,109080.0,109080.0,1251.9052872517682
45,0.5174948573112488,0.9177989130434783,0.9182089010317217,0.48198569894355836,109080.0,109080.0,1251.920908001224
46,0.4919995963573456,0.9259510869565217,0.9267945817453754,0.4817610437838894,109080.0,109080.0,1251.93652875068
47,0.5088433623313904,0.9235733695652174,0.9242873962023096,0.478999226831378,109080.0,109080.0,1251.9365287506798
48,0.5011571049690247,0.9242527173913043,0.9249958647161147,0.48807163544655885,109080.00000000001,109080.00000000001,1251.93652875068
49,0.5186781287193298,0.9262907608695651,0.9270365390021448,0.4875342375046541,109080.00000000001,109080.00000000001,1251.9365287506798
50,0.5219078063964844,0.9273097826086957,0.9281296364778028,0.48762366918277433,109080.0,109080.0,1251.93652875068
51,0.5169738531112671,0.927649456521739,0.9286207082242184,0.4765353091263797,109080.00000000001,109080.00000000001,1251.93652875068
52,0.5202393531799316,0.9307065217391305,0.9316712194551243,0.49223365779799916,109080.00000000001,109080.00000000001,1251.93652875068
53,0.5405246615409851,0.9310461956521738,0.9321176588621257,0.4948855272704032,109080.0,109080.0,1251.9521495001359
54,0.5380719900131226,0.9262907608695651,0.927481437546754,0.7689404117594085,109080.0,109080.0,1251.952149500136
55,0.5207986831665039,0.9283288043478262,0.9290437841718894,0.8170180995588853,109080.00000000001,109080.00000000001,1251.9521495001359
56,0.5307673215866089,0.9307065217391305,0.9315354662036605,1.5530532251504354,109080.0,109080.0,1251.9521495001359
57,0.5601089596748352,0.9225543478260869,0.9232105811219774,2.2742762463785486,109080.0,109080.0,1251.967770249592
58,0.5626219511032104,0.9225543478260869,0.9233787744982153,2.2853463113761956,109080.0,109080.0,1251.983390999048
59,0.5516443252563477,0.923913043478261,0.9246271724842297,2.2798261726771654,109080.00000000001,109080.00000000001,1251.983390999048
60,0.5727306604385376,0.9232336956521738,0.923795751617291,1.6717479482568776,109080.0,109080.0,1251.999011748504
61,0.5626804828643799,0.919836956521739,0.9205120987844596,0.4879245261567462,109080.00000000001,109080.00000000001,1252.0146324979596
62,0.5846357941627502,0.9194972826086957,0.9201593725568147,0.4841090812711643,109080.0,109080.0,1252.0146324979596
63,0.586732804775238,0.921875,0.9223973152912321,0.41496415340602066,109080.00000000001,109080.00000000001,1252.0146324979598
64,0.5396023988723755,0.9330842391304349,0.9337969641624041,0.41554869246041803,109080.00000000001,109080.00000000001,1252.0146324979596
65,0.5763144493103027,0.9273097826086957,0.9281254626923578,0.4055753368418157,109080.0,109080.0,1252.0146324979596
66,0.587395966053009,0.9225543478260869,0.9230088083884723,0.40104606423336486,109080.0,109080.0,1252.0146324979596
67,0.6183888912200928,0.9259510869565217,0.9261710341843072,0.39447400752167183,109080.0,109080.0,1252.0146324979596
68,0.598988950252533,0.9290081521739131,0.9296661889445809,0.38685075055009266,109080.0,109080.0,1252.0146324979596
69,0.6036410331726074,0.9245923913043478,0.9253937402409168,0.3890954805082024,109080.00000000001,109080.00000000001,1252.0302745001359
70,0.5947043299674988,0.9300271739130435,0.9307971676466069,0.39869666602199044,109080.00000000001,109080.00000000001,1252.030274500136
71,0.6009637713432312,0.9313858695652174,0.9320355592583122,0.3838243011356826,109080.0,109080.0,1252.0302745001359
72,0.6130325198173523,0.9290081521739131,0.9297970547936829,0.38572667706129465,109080.0,109080.0,1252.0302745001359
73,0.6256160736083984,0.9290081521739131,0.9297621690140992,0.38177449354279674,109080.00000000001,109080.00000000001,1252.030274500136
74,0.6224144101142883,0.9320652173913043,0.9323060123339056,0.3928323325835841,109080.0,109080.0,1252.0302745001359
75,0.6218836307525635,0.9324048913043478,0.9329571185751552,0.37905579967519526,109080.00000000001,109080.00000000001,1252.0302745001359
76,0.6252349615097046,0.9344429347826086,0.934930131522859,0.39216693752608434,109080.0,109080.0,1252.0302745001359
77,0.6674758791923523,0.9310461956521738,0.9315051325003539,0.38097711924110844,109080.0,109080.0,1252.0302745001359
78,0.711858332157135,0.9266304347826086,0.9268249011674691,0.38463608354686785,109080.0,109080.0,1252.0302745001359
79,0.667804479598999,0.9303668478260869,0.930522385233671,0.3966414794179897,109080.0,109080.0,1252.0302745001359
80,0.7072972655296326,0.9286684782608695,0.9290430620237696,0.3930205463130793,109080.0,109080.0,1252.030274500136
81,0.7141912579536438,0.9307065217391305,0.9311060083825977,0.39033799063134633,109080.0,109080.0,1252.0302745001359
82,0.7164387106895447,0.9290081521739131,0.9294035531417483,0.39484101138255023,109080.0,109080.0,1252.0302745001359
83,0.7013067603111267,0.9283288043478262,0.9286806491202432,0.38209362692879645,109080.0,109080.0,1252.045895249592
84,0.7799038887023926,0.9279891304347826,0.9283230939774603,0.3893532691051184,109080.0,109080.0,1252.0458952495917
85,0.7818322777748108,0.927649456521739,0.9280133494924621,0.36901599908160443,109080.0,109080.0,1252.0458952495917
86,0.7573115229606628,0.9320652173913043,0.9325426207249131,0.3784375122309509,109080.0,109080.0,1252.045895249592
87,0.8151458501815796,0.9293478260869565,0.9297571519238566,0.3826821828109006,109080.0,109080.0,1252.045895249592
88,0.816342830657959,0.9313858695652174,0.9317184073576059,0.37893381384044267,109080.0,109080.0,1252.045895249592
89,0.8981849551200867,0.9256114130434783,0.9262295511688735,0.3856745021127902,109080.0,109080.0,1252.0458952495917
90,0.8483508229255676,0.9266304347826086,0.9270858240460126,0.3849709715949568,109080.00000000001,109080.00000000001,1252.0458952495917
91,0.8827617168426514,0.9273097826086957,0.9276810453205818,0.38898081540801965,109080.00000000001,109080.00000000001,1252.045895249592
92,0.8521989583969116,0.9269701086956522,0.9276199788548349,0.39676757119555467,109080.0,109080.0,1252.0458952495917
93,0.8505994081497192,0.931725543478261,0.9324646896027354,0.3887213556758727,109080.0,109080.0,1252.0458952495921
94,0.858640193939209,0.927649456521739,0.9281165823085972,0.3843707097562534,109080.0,109080.0,1252.045895249592
95,0.9053788185119629,0.9290081521739131,0.9294735722569071,0.39155099509330515,109080.0,109080.0,1252.061515999048
96,0.8968838453292847,0.9269701086956522,0.9275103406304038,0.3928071308771596,109080.0,109080.0,1252.0615159990477
97,0.8447238802909851,0.931725543478261,0.9324671345050289,0.3969147779671749,109080.0,109080.0,1252.061515999048
98,0.8217114210128784,0.9344429347826086,0.9351629742858837,0.3916887889684089,109080.00000000001,109080.00000000001,1252.061515999048
99,0.8595901727676392,0.9310461956521738,0.931809284407028,0.3823748141429888,109080.00000000001,109080.00000000001,1252.0615159990477
100,0.9032722115516663,0.9320652173913043,0.9325314734712705,0.3768462898357649,109080.00000000001,109080.00000000001,1252.0615159990477
101,0.9221151471138,0.9313858695652174,0.9320623003010257,0.39262909433268356,109080.00000000001,109080.00000000001,1252.061515999048
102,0.8860172629356384,0.9290081521739131,0.9291668815018668,0.38016631599349476,109080.0,109080.0,1252.061515999048
103,0.933871328830719,0.9273097826086957,0.9279996678616714,0.38669320629652226,109080.00000000001,109080.00000000001,1252.0615159990477
104,1.013457179069519,0.9266304347826086,0.9271352671142455,0.39113066330049445,109080.0,109080.0,1252.061515999048
105,0.920304536819458,0.9266304347826086,0.9266720351162593,0.3922630034152001,109080.0,109080.0,1252.061515999048
106,0.9751635193824768,0.9252717391304349,0.9257447352084965,0.3852269806786642,109080.00000000001,109080.00000000001,1252.0615159990477
107,0.9359002113342285,0.9273097826086957,0.9274717674118502,0.3826795269342968,109080.0,109080.0,1252.061515999048
108,0.9785969257354736,0.9269701086956522,0.9272935987240445,0.3888923259567514,109080.00000000001,109080.00000000001,1252.061515999048
109,0.9908955693244934,0.9259510869565217,0.9262116068583759,0.3876225653229133,109080.0,109080.0,1252.061515999048
110,1.03618586063385,0.9262907608695651,0.926778949996116,0.39229271156354617,109080.0,109080.0,1252.061515999048
111,1.0322754383087158,0.9242527173913043,0.9245639285113754,0.39424612722536945,109080.00000000001,109080.00000000001,1252.0615159990477
112,0.9886398315429688,0.927649456521739,0.9281996175549982,0.38237298076508225,109080.0,109080.0,1252.0615159990477
113,1.0302228927612305,0.9259510869565217,0.9263725192627651,0.3763123449744804,109080.0,109080.0,1252.061515999048
114,0.9967264533042908,0.9293478260869565,0.9297373868736201,0.38238445864797804,109080.0,109080.0,1252.0615159990477
115,0.97406405210495,0.9313858695652174,0.9317110776977907,0.3873639767979382,109080.0,109080.0,1252.0615159990477
116,0.9797360301017761,0.9300271739130435,0.9302437228650527,0.39055209852536177,109080.0,109080.0,1252.061515999048
117,0.977756917476654,0.9300271739130435,0.9303733417828111,0.38474890262180367,109080.0,109080.0,1252.0615159990477
118,1.0090572834014893,0.9293478260869565,0.9298003813351373,0.3700078650579359,109080.00000000001,109080.00000000001,1252.061515999048
119,1.027239203453064,0.9269701086956522,0.9275282215419978,0.39046922870896456,109080.00000000001,109080.00000000001,1252.0615159990477
120,0.983451783657074,0.9351222826086957,0.935652044743064,0.3928771516443985,109080.0,109080.0,1252.0771367485038
121,1.051659107208252,0.9307065217391305,0.9313198173907548,0.38736058902948023,109080.00000000001,109080.00000000001,1252.0771367485038
122,1.00815749168396,0.9330842391304349,0.9336250806145698,0.3766930602061217,109080.00000000001,109080.00000000001,1252.0771367485038
123,1.0020582675933838,0.9286684782608695,0.9287112568299486,0.37654975847917743,109080.0,109080.0,1252.0771367485038
124,1.0449668169021606,0.9293478260869565,0.9294824619377907,0.39033468863779885,109080.00000000001,109080.00000000001,1252.0771367485036
125,1.0027954578399658,0.9290081521739131,0.9291802058099632,0.37582224750155596,109080.0,109080.0,1252.0771367485038
126,1.0230941772460938,0.9290081521739131,0.9289691187892113,0.38146516054836266,109080.0,109080.0,1252.0771367485038
127,1.0276209115982056,0.9307065217391305,0.9311830653865832,0.3911436526054137,109080.00000000001,109080.00000000001,1252.0771367485038
128,1.020039677619934,0.9330842391304349,0.9337083119236157,0.3882932823163512,109080.0,109080.0,1252.0771367485038
129,1.0209490060806274,0.9327445652173914,0.932823498230845,0.3912622657188004,109080.0,109080.0,1252.0771367485038
130,1.0310238599777222,0.9320652173913043,0.9320790909994598,0.3896587607780141,109080.0,109080.0,1252.0771367485038
131,1.0723768472671509,0.9327445652173914,0.9330556165168681,0.39360745294958,109080.0,109080.0,1252.0771367485038
132,1.1118462085723877,0.9310461956521738,0.9314036500894024,0.3817982075328536,109080.0,109080.0,1252.0771367485038
133,1.0816314220428467,0.9313858695652174,0.9313997574461288,0.3840293542799156,109080.0,109080.0,1252.0771367485038
134,1.1235110759735107,0.9320652173913043,0.9321736920767824,0.37555853164753794,109080.0,109080.0,1252.0771367485038
135,1.1323658227920532,0.9334239130434783,0.9333342747532909,0.39035896410490667,109080.00000000001,109080.00000000001,1252.0771367485038
136,1.1407670974731445,0.9303668478260869,0.9302994193303661,0.37694958747406127,109080.0,109080.0,1252.0771367485038
137,1.2312631607055664,0.9300271739130435,0.9300352138697336,0.380706922403487,109080.00000000001,109080.00000000001,1252.0771367485038
138,1.2342644929885864,0.9286684782608695,0.9288944925409336,0.38099716524304705,109080.0,109080.0,1252.0771367485038
139,1.2012584209442139,0.9286684782608695,0.9286707633156661,0.3879688267349808,109080.0,109080.0,1252.0771367485038
140,1.229025959968567,0.9283288043478262,0.9283651739781789,0.3756195410551002,109080.00000000001,109080.00000000001,1252.0771367485036
141,1.2319395542144775,0.9303668478260869,0.9306981678550772,0.3854981994213814,109080.00000000001,109080.00000000001,1252.0771367485038
142,1.1797924041748047,0.9300271739130435,0.9302818135876699,0.3969741233739033,109080.0,109080.0,1252.0771367485038
143,1.2082350254058838,0.9290081521739131,0.9293124929919389,0.3818036236752623,109080.0,109080.0,1252.0771367485038
144,1.282507300376892,0.9286684782608695,0.9285439665227296,0.3904012648856938,109080.0,109080.0,1252.0771367485038
145,1.2710115909576416,0.9286684782608695,0.9284940076025848,0.3830432285097659,109080.00000000001,109080.00000000001,1252.0771367485038
146,1.188537836074829,0.9307065217391305,0.9306362929231544,0.3867925935069158,109080.0,109080.0,1252.0771367485038
147,1.264086365699768,0.9296875,0.9297234404799347,0.38877259575892587,109080.00000000001,109080.00000000001,1252.077136748504
148,1.24215567111969,0.9293478260869565,0.9293192859859624,0.38354183945873743,109080.00000000001,109080.00000000001,1252.0771367485038
149,1.2736635208129883,0.9296875,0.9295452450522809,0.3822925010365682,109080.00000000001,109080.00000000001,1252.0771367485038
150,1.261305570602417,0.9300271739130435,0.9300063472018003,0.3946280326365906,109080.0,109080.0,1252.0771367485038
151,1.2454417943954468,0.9320652173913043,0.9321978803938227,0.3898263887560017,109080.0,109080.0,1252.0771367485038
152,1.2025517225265503,0.9303668478260869,0.9304248900730682,0.3823089750728877,109080.0,109080.0,1252.0771367485038
153,1.2458300590515137,0.9324048913043478,0.9328041609454893,0.3833214055272519,109080.00000000001,109080.00000000001,1252.0771367485038
154,1.2294269800186157,0.9313858695652174,0.9315264174332342,0.38192616612270425,109080.0,109080.0,1252.0771367485036
155,1.2396080493927002,0.9327445652173914,0.9331211147429056,0.39286675329306964,109080.0,109080.0,1252.0771367485038
156,1.3097277879714966,0.9307065217391305,0.9311153140320075,0.3920834846997287,109080.0,109080.0,1252.077136748504
157,1.2312976121902466,0.9303668478260869,0.9303715243058179,0.3888240182231118,109080.00000000001,109080.00000000001,1252.0771367485038
158,1.2675552368164062,0.931725543478261,0.9318543758866711,0.38619704857484816,109080.0,109080.0,1252.0771367485038
159,1.2919608354568481,0.9310461956521738,0.9312796018545287,0.38362451804086356,109080.00000000001,109080.00000000001,1252.0771367485038
160,1.262193202972412,0.927649456521739,0.9276919212443655,0.39404806699016015,109080.0,109080.0,1252.0771367485038
161,1.2835291624069214,0.9320652173913043,0.9322575660433756,0.392249530754878,109080.0,109080.0,1252.0771367485038
162,1.3120155334472656,0.9303668478260869,0.9304870147757852,0.39258455847500456,109080.0,109080.0,1252.0771367485036
163,1.3178998231887817,0.9296875,0.9297389535723403,0.3979544227413825,109080.0,109080.0,1252.0771367485036
164,1.2825990915298462,0.9303668478260869,0.9302485661408068,0.39288378326106765,109080.00000000001,109080.00000000001,1252.0771367485038
165,1.245086908340454,0.9330842391304349,0.9330654110810621,0.3925689215304673,109080.0,109080.0,1252.0771367485036
166,1.2852288484573364,0.931725543478261,0.9316746909384414,0.3873791113836332,109080.0,109080.0,1252.0771367485038
167,1.2975131273269653,0.9313858695652174,0.9316750161755549,0.3868397014120327,109080.00000000001,109080.00000000001,1252.0771367485038
168,1.264906406402588,0.9313858695652174,0.931461818796212,0.3917132542104794,109080.0,109080.0,1252.0771367485036
169,1.3063511848449707,0.9300271739130435,0.9302709692361705,0.3933073570536321,109080.0,109080.0,1252.0771367485038
170,1.280027151107788,0.9293478260869565,0.9291785621456752,0.3779924396137677,109080.0,109080.0,1252.0771367485036
171,1.300204873085022,0.931725543478261,0.9319360984389475,0.38650686087105035,109080.0,109080.0,1252.0771367485038
172,1.3828260898590088,0.9313858695652174,0.9314646137737792,0.38624349249459966,109080.0,109080.0,1252.0771367485038
173,1.3439935445785522,0.9296875,0.9295656445825795,0.39581609615433844,109080.0,109080.0,1252.077136748504
174,1.4203194379806519,0.9296875,0.9298615923302543,0.38374482009304484,109080.0,109080.0,1252.0771367485038
175,1.3976069688796997,0.9296875,0.9300118035980115,0.3789845649578626,109080.0,109080.0,1252.0771367485038
176,1.429003357887268,0.9290081521739131,0.9288640351166252,0.3875591703999678,109080.0,109080.0,1252.0771367485036
177,1.427483320236206,0.9283288043478262,0.9281519377911303,0.3857907848402258,109080.0,109080.0,1252.077136748504
178,1.4727797508239746,0.9279891304347826,0.9280636346336989,0.3939404572249756,109080.0,109080.0,1252.0771367485038
