round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
1,1.5586857795715332,0.4463315217391305,0.3729767784843577,0.21966533409873668,0.29082583774734716,0.6546898711826452,1.7142120712599893,109079.99999999999,109079.99999999999,1.0,8.6,10.0,872.3718492842085,0.01
2,1.3134737014770508,0.5682744565217391,0.4624469304867243,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5162295101127375,109080.0,109080.0,1.0,8.6,10.0,1533.707692740921,0.01
3,1.1262093782424927,0.600203804347826,0.49230065475679285,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5170041812711493,109080.0,109080.0,1.0,8.6,10.0,1535.113703116499,0.01
4,0.9460901021957397,0.6728940217391305,0.654268778219257,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5182377855912647,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1536.0440011008907,0.01
5,0.8414657711982727,0.6993885869565217,0.6335987956656406,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5282140552867873,109080.0,109080.0,1.0,8.6,10.0,1536.3495514613371,0.01
6,0.7865317463874817,0.6348505434782609,0.5647359141033705,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.519819171274318,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1536.4893518557874,0.01
7,0.7356986999511719,0.6919157608695651,0.6777445785281156,0.21966533409873662,0.29082583774734716,0.6546898711826452,0.5178995392527492,109080.0,109080.0,1.0,8.6,10.0,1536.6855357173217,0.01
8,0.7220814824104309,0.7034646739130435,0.669833242010618,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5169858550804873,109080.0,109080.0,1.0,8.6,10.0,1536.807866375646,0.01
9,0.7058228254318237,0.6582880434782609,0.606292244041974,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5104873673311385,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1536.90758413952,0.01
10,0.7061553597450256,0.686141304347826,0.6348132249023389,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5173916636405753,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1537.1223853840793,0.01
