round,loss,accuracy,f1,avg_fit_wall_s,total_comm_bytes_down,total_comm_bytes_up
1,1.7631096839904785,0.35086528673227013,0.18068593667162267,3.2468043327331544,16323040.0,16323040.0
2,1.709407925605774,0.36240244316253817,0.19591318136899227,2.2782185554504393,16323040.0,16323040.0
3,1.551923394203186,0.35629453681710216,0.20129617982444148,2.30325825214386,16323040.0,16323040.0
4,1.385266661643982,0.3698676620291822,0.24864548225389727,2.301137685775757,16323040.0,16323040.0
5,1.3428757190704346,0.39362063115032236,0.28216556281311617,2.237054538726807,16323040.0,16323040.0
6,1.3139050006866455,0.40481845945028844,0.293958347931216,2.3445907831192017,16323040.0,16323040.0
7,1.2852190732955933,0.4116050220563285,0.303365807776569,2.359415125846863,16323040.0,16323040.0
8,1.2539184093475342,0.4407872412623006,0.3298361532389222,2.3540332555770873,16323040.0,16323040.0
9,1.2219303846359253,0.4472344757380387,0.35444272393812515,2.237941765785217,16323040.0,16323040.0
10,1.1966980695724487,0.502884289107567,0.41733702078407714,2.151843047142029,16323040.0,16323040.0
11,1.1799205541610718,0.5083135391923991,0.41998250353315875,2.3072396755218505,16323040.0,16323040.0
12,1.16698157787323,0.509331523583305,0.4361487926954557,2.2459623336791994,16323040.0,16323040.0
13,1.1529217958450317,0.5218866644044792,0.4503249324962543,2.226165294647217,16323040.0,16323040.0
14,1.125119686126709,0.5357991177468612,0.46854350777122433,2.2409931421279907,16323040.0,16323040.0
15,1.0776638984680176,0.5568374618255854,0.4928265545455912,2.247388219833374,16323040.0,16323040.0
16,0.9799830317497253,0.5965388530709196,0.5386689347810432,2.1569709300994875,16323040.0,16323040.0
17,0.8542693257331848,0.6477774007465219,0.5889828343563059,2.2482348680496216,16323040.0,16323040.0
18,0.8107557892799377,0.6552426196131658,0.598011330223622,2.2512176752090456,16323040.0,16323040.0
19,0.7922030687332153,0.6776382762130979,0.6140964390127186,2.263691234588623,16323040.0,16323040.0
20,0.7558533549308777,0.7085171360705802,0.6500454894889317,2.2540129661560058,16323040.0,16323040.0
21,0.7311468720436096,0.7231082456735664,0.6623300542922053,2.3565115451812746,16323040.0,16323040.0
22,0.6944025754928589,0.7360027146250424,0.7002878988443149,2.2628409385681154,16323040.0,16323040.0
23,0.7403280735015869,0.7027485578554462,0.6647557401853413,2.2842801809310913,16323040.0,16323040.0
24,0.6615254282951355,0.7519511367492365,0.7321262073120152,2.2891186237335206,16323040.0,16323040.0
25,0.6437680721282959,0.7760434340006787,0.7688818056875647,2.3155434370040893,16323040.0,16323040.0
26,0.6240179538726807,0.7950458092975907,0.7854680718657413,2.122632145881653,16323040.0,16323040.0
27,0.5759199857711792,0.8171021377672208,0.8126349276172175,2.2389909267425536,16323040.0,16323040.0
28,0.5412523746490479,0.8388191381065491,0.8375097258910617,2.2226924180984495,16323040.0,16323040.0
29,0.5640139579772949,0.840515778758059,0.8384032415320744,2.262415337562561,16323040.0,16323040.0
30,0.513637900352478,0.8391584662368511,0.8387226173076613,2.193870997428894,16323040.0,16323040.0
31,0.5164822936058044,0.8656260604004072,0.8639720797682272,2.158908414840698,16323040.0,16323040.0
32,0.46343469619750977,0.8656260604004072,0.8649176004043254,2.153947949409485,16323040.0,16323040.0
33,0.4626072347164154,0.8727519511367492,0.8715714645963457,2.3240267038345337,16323040.0,16323040.0
34,0.46259474754333496,0.8700373260943333,0.869716833352418,2.2560389041900635,16323040.0,16323040.0
35,0.4335702657699585,0.8788598574821853,0.8785079305001378,2.388821530342102,16323040.0,16323040.0
36,0.48215359449386597,0.8819138106549033,0.8810374564684303,2.3551934719085694,16323040.0,16323040.0
37,0.47775426506996155,0.8829317950458093,0.8819112864405921,2.3515262603759766,16323040.0,16323040.0
38,0.4399603605270386,0.8815744825246012,0.8816895932514547,2.221201848983765,16323040.0,16323040.0
39,0.4495523273944855,0.8764845605700713,0.8763787059345026,2.1757214307785033,16323040.0,16323040.0
40,0.46162548661231995,0.8788598574821853,0.8788166461877407,2.2390156507492067,16323040.0,16323040.0
41,0.49500492215156555,0.8791991856124872,0.8788352737367942,2.203741192817688,16323040.0,16323040.0
42,0.48230987787246704,0.8842891075670173,0.883752930713453,2.1583760499954225,16323040.0,16323040.0
43,0.45212817192077637,0.8785205293518833,0.8784649072998097,2.241395616531372,16323040.0,16323040.0
44,0.47858113050460815,0.8819138106549033,0.8814674447613445,2.1855639934539797,16323040.0,16323040.0
45,0.44630080461502075,0.8829317950458093,0.8828614300744859,2.3141794919967653,16323040.0,16323040.0
46,0.45229578018188477,0.8798778418730913,0.8796362827260618,2.3215108156204223,16323040.0,16323040.0
47,0.4632188379764557,0.8832711231761113,0.883149565613199,2.3357081174850465,16323040.0,16323040.0
48,0.45793092250823975,0.8870037326094333,0.8867246469358195,2.217024540901184,16323040.0,16323040.0
49,0.4524957537651062,0.8836104513064132,0.8835837079003057,2.355631422996521,16323040.0,16323040.0
50,0.46488967537879944,0.8815744825246012,0.8814658941333184,2.270830011367798,16323040.0,16323040.0
51,0.45461922883987427,0.8842891075670173,0.8844250903624441,2.280266785621643,16323040.0,16323040.0
52,0.4746657907962799,0.8815744825246012,0.8813454689467587,2.2997495412826536,16323040.0,16323040.0
53,0.470459908246994,0.8805564981336953,0.8803408962442957,2.3633590221405028,16323040.0,16323040.0
54,0.43187448382377625,0.8948082796063793,0.8945870385548047,2.364133930206299,16323040.0,16323040.0
55,0.4573195278644562,0.8873430607397353,0.8876874371055309,2.1693952322006225,16323040.0,16323040.0
56,0.45775628089904785,0.8866644044791313,0.8867615111972268,2.312935996055603,16323040.0,16323040.0
